roi,name,hemisphere,lobe
4,lh_lateral_ventricle,L,Ventricular
5,lh_inferior_lateral_ventricle,L,Ventricular
6,lh_cerebellum_exterior,L,Cerebellum
7,lh_cerebellum_white_matter,L,Cerebellum
10,lh_thalamus_proper,L,Subcortical
11,lh_caudate,L,Subcortical
12,lh_putamen,L,Subcortical
13,lh_pallidum,L,Subcortical
14,3rd_ventricle,B,Ventricular
15,4th_ventricle,B,Ventricular
16,Brain_stem,B,Subcortical
17,lh_hippocampus,L,Temporal
18,lh_amygdala,L,Temporal
24,CSF_foramen,B,Ventricular
26,lh_accumbens_area,L,Subcortical
28,lh_ventral_DC,L,Subcortical
30,lh_vessel,L,Other
43,rh_lateral_ventricle,R,Ventricular
44,rh_inferior_lateral_ventricle,R,Ventricular
45,rh_cerebellum_exterior,R,Cerebellum
46,rh_cerebellum_white_matter,R,Cerebellum
49,rh_thalamus_proper,R,Subcortical
50,rh_caudate,R,Subcortical
51,rh_putamen,R,Subcortical
52,rh_pallidum,R,Subcortical
53,rh_hippocampus,R,Temporal
54,rh_amygdala,R,Temporal
58,rh_accumbens_area,R,Subcortical
60,rh_ventral_DC,R,Subcortical
62,rh_vessel,R,Other
91,lh_basal_forebrain,L,Subcortical
92,rh_basal_forebrain,R,Subcortical
630,cerebellar_vermal_lobules_I-V,B,Cerebellum
631,cerebellar_vermal_lobules_VI-VII,B,Cerebellum
632,cerebellar_vermal_lobules_VIII-X,B,Cerebellum
1002,lh_caudal_anterior_cingulate,L,Frontal
1003,lh_caudal_middle_frontal,L,Frontal
1005,lh_cuneus,L,Occipital
1006,lh_entorhinal,L,Temporal
1007,lh_fusiform,L,Temporal
1008,lh_inferior_parietal,L,Parietal
1009,lh_inferior_temporal,L,Temporal
1010,lh_isthmus_cingulate,L,Parietal
1011,lh_lateral_occipital,L,Occipital
1012,lh_lateral_orbitofrontal,L,Frontal
1013,lh_lingual,L,Occipital
1014,lh_medial_orbitofrontal,L,Frontal
1015,lh_middle_temporal,L,Temporal
1016,lh_parahippocampal,L,Temporal
1017,lh_paracentral,L,Frontal
1018,lh_pars_opercularis,L,Frontal
1019,lh_pars_orbitalis,L,Frontal
1020,lh_pars_triangularis,L,Frontal
1021,lh_pericalcarine,L,Occipital
1022,lh_postcentral,L,Parietal
1023,lh_posterior_cingulate,L,Parietal
1024,lh_precentral,L,Frontal
1025,lh_precuneus,L,Parietal
1026,lh_rostral_anterior_cingulate,L,Frontal
1027,lh_rostral_middle_frontal,L,Frontal
1028,lh_superior_frontal,L,Frontal
1029,lh_superior_parietal,L,Parietal
1030,lh_superior_temporal,L,Temporal
1031,lh_supramarginal,L,Parietal
1034,lh_transverse_temporal,L,Temporal
1035,lh_insula,L,Subcortical
2002,rh_caudal_anterior_cingulate,R,Frontal
2003,rh_caudal_middle_frontal,R,Frontal
2005,rh_cuneus,R,Occipital
2006,rh_entorhinal,R,Temporal
2007,rh_fusiform,R,Temporal
2008,rh_inferior_parietal,R,Parietal
2009,rh_inferior_temporal,R,Temporal
2010,rh_isthmus_cingulate,R,Parietal
2011,rh_lateral_occipital,R,Occipital
2012,rh_lateral_orbitofrontal,R,Frontal
2013,rh_lingual,R,Occipital
2014,rh_medial_orbitofrontal,R,Frontal
2015,rh_middle_temporal,R,Temporal
2016,rh_parahippocampal,R,Temporal
2017,rh_paracentral,R,Frontal
2018,rh_pars_opercularis,R,Frontal
2019,rh_pars_orbitalis,R,Frontal
2020,rh_pars_triangularis,R,Frontal
2021,rh_pericalcarine,R,Occipital
2022,rh_postcentral,R,Parietal
2023,rh_posterior_cingulate,R,Parietal
2024,rh_precentral,R,Frontal
2025,rh_precuneus,R,Parietal
2026,rh_rostral_anterior_cingulate,R,Frontal
2027,rh_rostral_middle_frontal,R,Frontal
2028,rh_superior_frontal,R,Frontal
2029,rh_superior_parietal,R,Parietal
2030,rh_superior_temporal,R,Temporal
2031,rh_supramarginal,R,Parietal
2034,rh_transverse_temporal,R,Temporal
2035,rh_insula,R,Subcortical
